domain,domain_name,registrar,creation_date,expiration_date,updated_date,status,name_servers,emails,country,city,tld,raw_text,subdomain count
360grad.film,360grad.film,IONOS SE,"[datetime.datetime(2017, 12, 8, 13, 58, 14), datetime.datetime(2017, 12, 8, 13, 58, 14, 384000)]","[datetime.datetime(2025, 12, 8, 13, 58, 14), datetime.datetime(2025, 12, 8, 13, 58, 14, 384000)]","[datetime.datetime(2025, 1, 22, 13, 58, 14), datetime.datetime(2019, 5, 8, 14, 42, 2, 509000)]","['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientTransferProhibited https://www.icann.org/epp#clientTransferProhibited']","ns1114.ui-dns.org,ns1103.ui-dns.biz,ns1070.ui-dns.de,ns1075.ui-dns.com","abuse@ionos.com,dataprivacyprotected@ionos.de",DE,REDACTED FOR PRIVACY,film,SUCCESS,
361.film,361.film,"GoDaddy.com, LLC",2024-03-14 15:48:47,2026-03-14 15:48:47,"[datetime.datetime(2025, 3, 20, 13, 12, 8), datetime.datetime(2025, 3, 15, 13, 12, 8)]","['clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited']","ns19.domaincontrol.com,ns20.domaincontrol.com",abuse@godaddy.com,US,"['REDACTED FOR PRIVACY', 'Tempe']",film,SUCCESS,
365.film,365.film,Hosting Concepts B.V. d/b/a Registrar.eu,"[datetime.datetime(2017, 1, 22, 23, 58, 27), datetime.datetime(2017, 1, 23, 0, 58, 27)]",2026-01-22 23:58:27,"[datetime.datetime(2025, 7, 18, 20, 57, 13), datetime.datetime(2025, 7, 18, 22, 57, 13)]",ok https://icann.org/epp#ok,"dns1.papaki.gr,dns2.papaki.gr",abuse@registrar.eu,GR,REDACTED FOR PRIVACY,film,SUCCESS,
3danimation.film,3danimation.film,"NameCheap, Inc.",2024-11-26 14:40:56,2034-11-26 14:40:56,2024-12-01 14:40:56,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"zod.ns.cloudflare.com,hazel.ns.cloudflare.com",abuse@namecheap.com,IS,REDACTED FOR PRIVACY,film,SUCCESS,
3dworldpro.film,3dworldpro.film,"GoDaddy.com, LLC",2022-04-06 12:37:55,2027-04-06 12:37:55,"[datetime.datetime(2024, 6, 7, 8, 50, 6), datetime.datetime(2022, 4, 6, 12, 37, 56)]","['clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited']","ns38.domaincontrol.com,ns37.domaincontrol.com",abuse@godaddy.com,US,"['REDACTED FOR PRIVACY', 'Tempe']",film,SUCCESS,
3secondslater.film,3secondslater.film,"GoDaddy.com, LLC",2021-06-23 13:23:32,2027-06-23 13:23:32,"[datetime.datetime(2025, 6, 29, 16, 42, 24), datetime.datetime(2025, 6, 24, 16, 42, 24)]","['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited']","ns71.domaincontrol.com,ns72.domaincontrol.com",abuse@godaddy.com,US,"['REDACTED FOR PRIVACY', 'Tempe']",film,SUCCESS,
404.film,404.film,"MarkMonitor, Inc.","[datetime.datetime(2019, 6, 28, 21, 44, 56), datetime.datetime(2019, 6, 28, 21, 44, 56, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2027, 6, 28, 21, 44, 56), datetime.datetime(2027, 6, 28, 0, 0, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 6, 1, 12, 27, 15), datetime.datetime(2025, 5, 27, 12, 27, 14, tzinfo=datetime.timezone.utc)]","['clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)', 'clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)', 'clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)']","r3.ns.netflix.net,r4.ns.netflix.net,r5.ns.netflix.net,r2.ns.netflix.net,r1.ns.netflix.net,r6.ns.netflix.net","registry.admin@markmonitor.com,abusecomplaints@markmonitor.com,whoisrequest@markmonitor.com",US,REDACTED FOR PRIVACY,film,SUCCESS,
40acres.film,40acres.film,"GoDaddy.com, LLC",2025-05-14 13:54:27,2026-05-14 13:54:27,"[datetime.datetime(2025, 5, 19, 13, 54, 27), datetime.datetime(2025, 5, 14, 13, 54, 28)]","['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited']","ns07.domaincontrol.com,ns08.domaincontrol.com",abuse@godaddy.com,US,"['REDACTED FOR PRIVACY', 'Tempe']",film,SUCCESS,
4199.film,4199.film,"GoDaddy.com, LLC",2023-04-15 20:04:09,2026-04-15 20:04:09,"[datetime.datetime(2025, 4, 21, 17, 46, 35), datetime.datetime(2025, 4, 16, 17, 46, 35)]","['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited']","ns116.namehero.net,ns115.namehero.net",abuse@godaddy.com,US,"['REDACTED FOR PRIVACY', 'Tempe']",film,SUCCESS,
45days.film,45days.film,"GoDaddy.com, LLC",2021-07-26 22:42:25,2025-07-26 22:42:25,"[datetime.datetime(2024, 8, 1, 13, 36, 48), datetime.datetime(2024, 7, 27, 13, 36, 48)]","['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited']","ns05.domaincontrol.com,ns06.domaincontrol.com",abuse@godaddy.com,US,"['REDACTED FOR PRIVACY', 'Tempe']",film,SUCCESS,
45rpm.film,45rpm.film,"GoDaddy.com, LLC",2022-03-16 11:58:43,2026-03-16 11:58:43,"[datetime.datetime(2025, 3, 22, 12, 58, 32), datetime.datetime(2025, 3, 17, 12, 58, 32)]","['clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited']","ns41.domaincontrol.com,ns42.domaincontrol.com",abuse@godaddy.com,US,"['REDACTED FOR PRIVACY', 'Tempe']",film,SUCCESS,
45south.film,45south.film,"OVH, SAS",2020-04-22 23:59:05,"[datetime.datetime(2026, 4, 22, 23, 59, 5), datetime.datetime(2025, 4, 22, 23, 59, 5, tzinfo=datetime.timezone(datetime.timedelta(seconds=7200)))]","[datetime.datetime(2025, 4, 6, 9, 20, 58), datetime.datetime(2024, 4, 6, 10, 28, 34)]","['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited']","ns110.ovh.net,dns110.ovh.net",abuse@ovh.net,FR,REDACTED FOR PRIVACY,film,SUCCESS,
48grad.film,48grad.film,Key-Systems LLC,2022-12-28 13:04:43,2025-12-28 13:04:43,2025-06-28 10:11:25,"['pendingDelete https://icann.org/epp#pendingDelete', 'redemptionPeriod https://icann.org/epp#redemptionPeriod']","disabled-dns2.dogado.net,disabled-dns1.dogado.net",abuse@key-systems.net,DE,REDACTED FOR PRIVACY,film,SUCCESS,
4dx.film,4dx.film,Eurodns S.A.,"[datetime.datetime(2018, 6, 22, 9, 1, 19), datetime.datetime(2018, 6, 22, 0, 0)]","[datetime.datetime(2025, 6, 22, 9, 1, 19), datetime.datetime(2026, 6, 21, 0, 0)]","[datetime.datetime(2024, 8, 6, 9, 1, 20), datetime.datetime(2025, 6, 16, 10, 8, 43)]","['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'autoRenewPeriod https://icann.org/epp#autoRenewPeriod', 'clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited']","ns1.eurodns.com,ns2.eurodns.com,ns3.eurodns.com,ns4.eurodns.com","dnsco@admin.eurodns.com,legalservices@eurodns.com,support@pathe.nl,support@poort80.nl",NL,"['REDACTED FOR PRIVACY', 'Amsterdam']",film,SUCCESS,
4mm.film,4mm.film,"ENOM, INC.","[datetime.datetime(2023, 7, 30, 21, 12, 28), datetime.datetime(2023, 7, 30, 21, 12)]",2026-07-30 21:12:28,"[datetime.datetime(2025, 7, 4, 8, 51, 4), datetime.datetime(2025, 7, 4, 8, 51, 4, 990000)]","['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientTransferProhibited https://www.icann.org/epp#clientTransferProhibited']","ns1.dreamhost.com,ns2.dreamhost.com,ns3.dreamhost.com","legal@enom.com,ABUSE@ENOM.COM",US,REDACTED FOR PRIVACY,film,SUCCESS,
5149.film,5149.film,"GoDaddy.com, LLC",2023-12-21 14:06:20,2025-12-21 14:06:20,"[datetime.datetime(2024, 12, 26, 5, 4, 52), datetime.datetime(2024, 12, 21, 5, 4, 52)]","['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited']","ns07.domaincontrol.com,ns08.domaincontrol.com",abuse@godaddy.com,US,"['REDACTED FOR PRIVACY', 'Tempe']",film,SUCCESS,
51fest.film,51fest.film,"Network Solutions, LLC",2018-12-06 15:18:27,2027-12-06 15:18:27,2024-10-12 07:05:01,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"ns70.worldnic.com,ns69.worldnic.com",abuse@web.com,US,REDACTED FOR PRIVACY,film,SUCCESS,
52big.film,52big.film,"GoDaddy.com, LLC",2019-01-16 21:30:40,2026-01-16 21:30:40,"[datetime.datetime(2025, 1, 23, 5, 35, 6), datetime.datetime(2025, 1, 18, 5, 35, 6)]","['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited']","ns14.domaincontrol.com,ns13.domaincontrol.com",abuse@godaddy.com,US,"['REDACTED FOR PRIVACY', 'Tempe']",film,SUCCESS,
555.film,555.film,"GoDaddy.com, LLC",2016-10-05 15:59:05,2025-10-05 15:59:05,"[datetime.datetime(2024, 10, 11, 12, 33, 41), datetime.datetime(2024, 10, 6, 12, 33, 42)]","['clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited']","ns52.domaincontrol.com,ns51.domaincontrol.com",abuse@godaddy.com,US,"['REDACTED FOR PRIVACY', 'Tempe']",film,SUCCESS,
5bagger.film,5bagger.film,"ENOM, INC.","[datetime.datetime(2017, 3, 20, 21, 57, 28), datetime.datetime(2017, 3, 20, 21, 57)]",2026-03-20 21:57:28,"[datetime.datetime(2025, 2, 22, 8, 41, 33), datetime.datetime(2025, 2, 22, 8, 41, 33, 560000)]","['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientTransferProhibited https://www.icann.org/epp#clientTransferProhibited']","ns1.dreamhost.com,ns2.dreamhost.com,ns3.dreamhost.com","legal@enom.com,ABUSE@ENOM.COM",US,REDACTED FOR PRIVACY,film,SUCCESS,
65mm.film,65mm.film,"CSC Corporate Domains, Inc.",2016-10-27 21:53:11,2025-10-27 21:53:11,2024-09-22 19:12:32,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"ekns01.kodak.com,ekns02.kodak.com,ekns03.kodak.com,ns.kodak.com",domainabuse@cscglobal.com,us,REDACTED FOR PRIVACY,film,SUCCESS,
70mm.film,70mm.film,"CSC Corporate Domains, Inc.",2016-10-27 21:55:22,2025-10-27 21:55:22,2024-09-22 19:12:44,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"ekns01.kodak.com,ekns02.kodak.com,ekns03.kodak.com,ns.kodak.com",domainabuse@cscglobal.com,us,REDACTED FOR PRIVACY,film,SUCCESS,
789club.film,789club.film,"NameCheap, Inc.",2025-06-12 06:11:46,2026-06-12 06:11:46,2025-06-27 16:00:18,"['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited']","dns1.registrar-servers.com,dns2.registrar-servers.com",abuse@namecheap.com,IS,REDACTED FOR PRIVACY,film,SUCCESS,
